name
Aahaana
Aaloka
Aamani
Aanchal
Aaravi
Aashi
Aadavan
Aadhish
Aadi
Aarav
Advik
Ahaan
Akarsh
Akshay
Arnav
Ayush
Aayushi
Adriti
Advika
Aisha
Asin
Aysha
Bani
Bhakti
Bhaumi
Chaitali
Chanakshi
Charul
Cherika
Chetal
Daivi
Darshini
Dhara
Dhruvi
Dhwani
Dijul
Edha
Ekta
Elika
Enakshi
Eniya
Esha
Eswaria
Falguni
Freya
Gamini
Gargi
Garima
Geshna
Gitali
Griva
Harshika
Harshini
Hashree
Hemali
Henna
Hir
Hruti
Idaya
Idika
Ihita
Ira
Iyla
Janki
Jasmeet
Jasoda
Jasweer
Jemisha
Jhanvi
Juhi
Jyestha
Kajal
Kalini
Karishme
Kashika
Chakshu
Charit
Chinmay
Chirag
Daanish
Dabeet
Dahak
Daivat
Daksh
Danavarsh
Darahaas
Deepak
Dev
Dhairya
Dhruv
Divit
Divyansh
Ekadanta
Ekaksh
Ekalavya
Ekant
Eshan
Faiyaz
Falgun
Fanish
Fravash
Hansh
Hari
Harikiran
Hemang
Hemanshu
Herish
Kavya
Kshama
Laranya
Lata
Latika
Leena
Mahi
Mahika
Mayra
Mayukhi
Menaha
Mira
Mishka
Navya
Neha
Bahul
Baladhi
Balan
Balbir
Banshi
Bhavan
Bhavik
Bhavin
Bhavish
Chahan
Chaital
Chaitan
Chakor
Nimisha
Nisha
Nitya
Niva
Oja
Ojasvi
Omaja
Omkareshwari
Omysha
Paakhi
Pari
Pavati
Pooj
Priya
Ranhita
Ria
Taarush
Taha
Taimur
Tanay
Tushar
Uchit
Udarsh
Uday
Uthkarsh
Vaasu
Rishima
Roop
Ryka
Saanvi
Saanya
Sadhika
Taani
Tanuja
Tashu
Tejal
Tejasvi
Tiya
Trayi
Trisha
Tuhi
Udaya
Udisha
Uditi
Umangi
Priyansh
Rachit
Ranbir
Reyansh
Rohak
Rohan
Rohit
Rudra
Saaket
Sahil
Samar
Shlok
Shray
Unnathi
Vaani
Vaishnavi
Vakula
Wamika
Yamini
Yashi
Zaara
Zankhan
Zoya
Hetav
Himesh
Himmat
Hrithik
Indrajit
Jagesh
Jai
Jayesh
Kalash
Kalpit
Kiaan
Lakshay
Lakshit
Lehan
Likhit
Lohith
Lokesh
Maahir
Maanav
Mitul
Mohit
Neerav
Nishith
Ohas
Ojas
Omarjeet
Onish
Paarth
Padman
Palash
Palvit
Panav
Panshul
Paras
Parav
Piyush
Pranay
